when,impact,name
2025-07-03T12:30:00Z,high,US Employment Situation (June)
2025-07-03T14:00:00Z,medium,ISM Services PMI (June)
2025-07-15T12:30:00Z,high,US CPI (June)
2025-07-24T12:15:00Z,high,ECB Monetary Policy Decision
2025-07-24T12:45:00Z,high,ECB Press Conference
2025-07-30T09:00:00Z,high,Euro area GDP Flash (Q2 2025)
2025-07-30T12:30:00Z,high,"US GDP (Q2 2025, Advance)"
2025-07-30T18:00:00Z,high,FOMC Rate Decision/Statement
2025-07-30T18:30:00Z,high,FOMC Press Conference
2025-07-31T09:00:00Z,high,Euro area HICP Flash (July)
2025-07-31T12:30:00Z,high,"US Personal Income & Outlays (incl. Core PCE, June)"
2025-08-01T12:30:00Z,high,US Employment Situation (July)
2025-08-01T14:00:00Z,medium,ISM Manufacturing PMI (July)
2025-08-05T14:00:00Z,medium,ISM Services PMI (July)
2025-08-12T12:30:00Z,high,US CPI (July)
2025-08-14T09:00:00Z,high,Euro area GDP/Employment (Q2 2025 update)
2025-08-14T12:15:00Z,high,ECB Monetary Policy Decision
2025-08-14T12:30:00Z,medium,US PPI (July)
2025-08-14T12:45:00Z,high,ECB Press Conference
2025-08-15T12:30:00Z,high,US Retail Sales (July)
